nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dlv_p,o_dlv_e,o_hops,legs,i1_rcs_p_normalized,i1_rcs_e_normalized,i1_dep_1_p_normalized,i1_dep_1_e_normalized,i1_rcf_1_p_normalized,i1_rcf_1_e_normalized,i1_dlv_p_normalized,i1_dlv_e_normalized,o_rcs_p_normalized,o_rcs_e_normalized,o_dep_1_p_normalized,o_dep_1_e_normalized,o_rcf_1_p_normalized,o_rcf_1_e_normalized,o_dlv_p_normalized,o_dlv_e_normalized
0.0,5182.0,199.0,218.0,210.0,215.0,609.0,935.0,736.0,256.0,,,,,,,840.0,1539.0,1.0,573,3315.0,2880.0,300.0,696.0,431,1965.0,515.0,256,,,,,,,2760.0,1280.0,1,,,,,,,,,,,,,10121.0,9919.0,7559.0,240.0,2865.0,256.0,1330.0,1265.0,411.0,,,,,,,780.0,434.0,1.0,2.0,0.004111476104694288,0.004681163171973423,0.04819707247411639,0.02218950467977705,0.17875176731973338,0.01897488386741201,0.06779661016949153,0.016905557509672882,0.20178705908693087,0.15420084057616193,0.09803921568627451,0.23263605164242523,0.2600688119813803,0.2290269976445008,0.047872340425531915,0.0007730362113013252
1.0,6523.0,844.0,584.0,90.0,297.0,700.0,1935.0,1415.0,431.0,,,,,,,3780.0,5790.0,1.0,13946,2964.0,2888.0,180.0,239.0,257,970.0,756.0,149,160.0,331.0,149,1080.0,1142.0,431,7020.0,6628.0,2,,,,,,,,,,,,,626.0,3030.0,3016.0,300.0,286.0,431.0,835.0,526.0,256.0,,,,,,,3870.0,445.0,1.0,2.0,0.01778107449401293,0.012576581240831823,0.0053552302749018225,0.03081291408139657,0.380731165421127,0.036795003018135056,0.3697996918335902,0.06363216672529018,0.06157008813172946,0.06151303709144326,0.13725490196078433,0.02189900310508253,0.15988666261890305,0.09512592861025548,0.32180851063829785,0.00079267454461383
2.0,5878.0,4380.0,4119.0,90.0,280.0,456.0,905.0,547.0,700.0,,,,,,,3780.0,321.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12691.0,1433.0,642.0,240.0,969.0,700.0,1200.0,1280.0,349.0,,,,,,,550.0,1520.0,1.0,1.0,0.09272014411359542,0.08883423936491501,0.0053552302749018225,0.02902513408349984,0.17269238537669157,0.014014644516179828,0.3697996918335902,0.0035174111853675696,0.029065152347804848,0.013077896111315135,0.09803921568627451,0.07770877594378167,0.2337583485124469,0.23174488131907953,0.027482269503546097,0.0027118753001540716
3.0,1275.0,759.0,169.0,240.0,777.0,173.0,340.0,577.0,349.0,1340.0,1109.0,349,1240.0,820.0,671,335.0,535.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12932.0,3963.0,3176.0,90.0,883.0,671.0,815.0,956.0,700.0,,,,,,,3780.0,159.0,1.0,1.0,0.015979654551234502,0.0036241263266891016,0.05890753302392003,0.08129140813965717,0.058574025449404155,0.014801984095740493,0.015921931176168466,0.005869679915582132,0.08056013514888767,0.06477741053576529,0.0,0.07068148390259847,0.15583889900829792,0.173038593948179,0.31382978723404253,0.00028207787848870527
4.0,8117.0,1597.0,1485.0,150.0,241.0,411.0,585.0,612.0,128.0,340.0,289.0,128,130.0,135.0,166,4230.0,1255.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12805.0,152.0,179.0,180.0,131.0,166.0,230.0,167.0,128.0,810.0,872.0,128,740.0,346.0,411,4140.0,4797.0,2.0,1.0,0.033739535869450034,0.03201311588575373,0.026776151374509106,0.024923756441266168,0.1080589779842456,0.015720546938561265,0.41602465331278893,0.013783855082659162,0.0029920009769799113,0.0036316154568082587,0.058823529411764705,0.009233534891322111,0.03744181339809755,0.030077912665337925,0.3457446808510638,0.00856231332425209
5.0,9889.0,181.0,98.0,240.0,259.0,815.0,215.0,223.0,128.0,,,,,,,4890.0,115.0,1.0,9915,59.0,59.0,525.0,1934.0,128,3615.0,2270.0,128,,,,,,,3960.0,21025.0,1,,,,,,,,,,,,,6430.0,136.0,29.0,240.0,308.0,128.0,960.0,682.0,597.0,,,,,,,3960.0,467.0,1.0,2.0,0.0037299989403412103,0.002092501510052636,0.05890753302392003,0.026816699968450937,0.03332660068672995,0.005511377056924651,0.4838212634822805,0.0012530777347871966,0.0026663410066963835,0.0005712653527563552,0.09803921568627451,0.023696682464454975,0.1851851851851852,0.12339191882587425,0.32978723404255317,0.0008319512112388396
6.0,3997.0,1300.0,212.0,240.0,1267.0,815.0,270.0,135.0,391.0,,,,,,,5070.0,2161.0,1.0,9805,252.0,33.0,240.0,399.0,815,275.0,164.0,391,,,,,,,5070.0,727.0,1,571,250.0,153.0,150.0,181.0,610,525.0,181.0,281,2880.0,1258.0,2,2544.0,329.0,81.0,570.0,763.0,391.0,80.0,79.0,281.0,,,,,,,2880.0,151.0,1.0,3.0,0.027445162657624245,0.004551730088877383,0.05890753302392003,0.1328215374907982,0.0444354675823066,0.003201847623546702,0.50231124807396,0.023742525501231095,0.006594614398241437,0.0016321867221610151,0.31372549019607837,0.06087596012420331,0.0070835863185589945,0.014132995107809387,0.2340425531914894,0.00026779545426142907
7.0,7125.0,139.0,87.0,240.0,232.0,783.0,255.0,154.0,815.0,460.0,563.0,815,215.0,182.0,128,4890.0,374.0,2.0,10590,303.0,110.0,240.0,371.0,815,215.0,143.0,128,,,,,,,4890.0,919.0,1,,,,,,,,,,,,,6753.0,119.0,19.0,240.0,298.0,128.0,960.0,678.0,597.0,,,,,,,3960.0,161.0,1.0,2.0,0.0028398855568506944,0.001855207524376564,0.05890753302392003,0.02397728467767378,0.04140577661078569,0.003700496023935123,0.4838212634822805,0.004099982412944073,0.0023203272882701353,0.0003672420124862284,0.09803921568627451,0.022879555482922045,0.1851851851851852,0.12266714984598659,0.32978723404255317,0.00028564848454552436
8.0,10481.0,387.0,68.0,240.0,514.0,815.0,285.0,219.0,485.0,,,,,,,5160.0,1170.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5570.0,933.0,1074.0,180.0,677.0,485.0,885.0,695.0,149.0,,,,,,,6680.0,2830.0,1.0,1.0,0.008095793154604217,0.0014453360945724395,0.05890753302392003,0.05363339993690188,0.047465158553827505,0.0054063984463165625,0.5115562403697997,0.012849542736545903,0.018888278276444608,0.021891704410984616,0.058823529411764705,0.05384866808302011,0.17000607164541592,0.12574741801050915,0.5709219858156028,0.005050622267370552
9.0,3212.0,6145.0,6013.0,300.0,385.0,690.0,810.0,635.0,555.0,,,,,,,1560.0,672.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13468.0,495.0,336.0,300.0,481.0,555.0,820.0,625.0,356.0,,,,,,,3960.0,218.0,1.0,1.0,0.13012609939599448,0.1296919492622314,0.08032845412352732,0.04006730465874435,0.1535043425570592,0.016324173949557777,0.14175654853620956,0.0073755715793176226,0.009973336589933037,0.006834781899049251,0.13725490196078433,0.037832979244974675,0.1568508399109492,0.11306396086247508,0.32978723404255317,0.0003874107571648674
